ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,easting,northing
4805,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Central,place-cntsq,100113,34045,77,1300,442,4835,763303.65,2958426.04
4806,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Davis,place-davis,62838,4611,77,816,60,1535,758156.45,2969832.48
4809,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Harvard,place-harsq,172338,23059,77,2238,299,3977,759116.13,2961355.2
4811,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Kendall/MIT,place-knncl,157385,36882,77,2044,479,6400,768015.16,2957375.19
4814,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Porter,place-portr,45669,6903,77,593,90,2038,759062.42,2966679.98999999
4821,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Alewife,place-alfcl,152376,0,77,1979,0,1979,752981.59,2969782.02
4897,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Central,place-cntsq,176758,60575,77,2296,787,7970,763303.65,2958426.04
4903,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Davis,place-davis,95174,20443,77,1236,265,2949,758156.45,2969832.48
4907,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_03,AM_PEAK,Alewife,place-alfcl,372451,0,77,4837,0,4837,752981.59,2969782.02
4918,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Harvard,place-harsq,261472,38963,77,3396,506,6461,759116.13,2961355.2
4928,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Kendall/MIT,place-knncl,378498,36503,77,4916,474,12412,768015.16,2957375.19
4933,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Porter,place-portr,65715,17812,77,853,231,3572,759062.42,2966679.98999999
4940,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_07,EVENING,Alewife,place-alfcl,58141,0,77,755,0,755,752981.59,2969782.02
